bus_id,Pg,Qg
8,4.01992e-06,32131.1
10,56393.9,399132
20,-205919,-5.22811e-05
63,6.46647e-06,5.01702e-06
76,-609064,8.1868e-07
84,2.69479e-06,353227
91,8.26355e-07,1.45666e+06
92,9.52757e-07,722116
98,-35887.7,535845
108,-3.52262e-07,515914
119,6.449e-07,345682
124,88558.9,137298
125,-5.58117e-08,-1.62359e-07
138,-1.19314e-06,3.10529e-05
141,-7776.81,-1.71474e-07
143,1.25289e+06,1.79035e+06
146,1.21156e+06,1.51225e+06
147,1.12298e+06,1.54144e+06
149,32568.9,1.53064e+06
152,-177212,1.51117e+06
153,144583,-50
156,92548.1,-10
170,78600.9,90
171,601064,150
176,128961,34.6754
177,0.000145075,35
185,6.19377e-06,34.0231
186,1.09735e-06,282.376
187,1.84527e-07,275.352
190,8.84103e-06,-222.057
191,3.23483e-06,383.473
198,124302,139.917
213,128243,74.1735
220,2.01151e-05,60
221,4.52855e-05,277
222,3.58693e-07,124.396
227,791.859,218
230,-1.03142e-05,99.9265
233,1.08082e-05,171
236,-30744.8,300
238,-13563.5,134
239,-1462.33,225.212
241,337095,-104.376
242,67148.6,100
243,1.24086e-06,54.9642
7001,3606.52,134.19
7002,3.26084e-06,108.716
7003,1.93471e-06,420
7011,1.75929e-06,100
7012,-1.49365e-05,224
7017,2.96838e-07,245
7023,3.47439e-06,5.97195
7024,3.20753e-06,167.42
7039,2682.44,46.7289
7044,10164.8,42
7049,1.5365e-06,10
7055,658.951,25
7057,1.88769e-06,90
7061,269.859,150
7062,474.889,150
7071,2338.08,87
7130,3.19501e-06,220.201
7139,-2.36838e-07,314.776
7166,6471.85,31.2976
9002,-9.15192e-06,2
9051,3.40685e-06,17.35
9053,1.08184e-06,12.83
9054,108347,38
9055,102034,6
